r_mm,z_mm,theta_deg,T0_mm
1.780943,-47.990034,2.591175,1.008418
4.297809,-47.856543,4.450801,1.014774
5.597214,-47.723052,6.598615,1.017414
6.634724,-47.589561,7.927357,1.020514
7.525483,-47.456070,9.041096,1.023305
8.318166,-47.322579,10.024766,1.026330
9.039094,-47.189088,10.917280,1.029193
9.704481,-47.055597,11.740901,1.032213
10.325173,-46.922106,12.509934,1.035129
10.908856,-46.788615,13.234264,1.038164
11.461221,-46.655124,13.921082,1.041125
11.986617,-46.521632,14.575822,1.044184
12.488463,-46.388141,15.202713,1.047187
12.969501,-46.254650,15.805127,1.050273
13.431973,-46.121159,16.385803,1.053318
13.877742,-45.987668,16.947006,1.056434
14.308370,-45.854177,17.490631,1.059518
14.725188,-45.720686,18.018285,1.062668
15.129341,-45.587195,18.531345,1.065792
15.521819,-45.453704,19.031002,1.068975
15.903488,-45.320213,19.518293,1.072139
16.275108,-45.186722,19.994129,1.075358
16.637355,-45.053231,20.459313,1.078562
16.990827,-44.919740,20.914563,1.081817
17.336064,-44.786249,21.360516,1.085061
17.673546,-44.652758,21.797748,1.088355
18.003712,-44.519267,22.226774,1.091640
18.326956,-44.385776,22.648065,1.094971
18.643639,-44.252285,23.062047,1.098298
18.954090,-44.118793,23.469109,1.101669
19.258610,-43.985302,23.869606,1.105038
19.557477,-43.851811,24.263865,1.108449
19.850947,-43.718320,24.652188,1.111860
20.139254,-43.584829,25.034852,1.115313
20.422619,-43.451338,25.412114,1.118768
20.701243,-43.317847,25.784213,1.122263
20.975317,-43.184356,26.151370,1.125761
21.245015,-43.050865,26.513792,1.129300
21.510504,-42.917374,26.871671,1.132843
21.771936,-42.783883,27.225189,1.136425
22.029457,-42.650392,27.574513,1.140014
22.283201,-42.516901,27.919803,1.143641
22.533298,-42.383410,28.261206,1.147276
22.779866,-42.249919,28.598864,1.150949
23.023019,-42.116428,28.932908,1.154631
23.262865,-41.982937,29.263463,1.158351
23.499504,-41.849446,29.590647,1.162082
23.733032,-41.715955,29.914572,1.165849
23.963541,-41.582463,30.235342,1.169629
24.191117,-41.448972,30.553059,1.173445
24.415842,-41.315481,30.867817,1.177274
24.637794,-41.181990,31.179707,1.181140
24.857047,-41.048499,31.488814,1.185020
25.073671,-40.915008,31.795222,1.188937
25.287736,-40.781517,32.099007,1.192869
25.499304,-40.648026,32.400245,1.196838
25.708438,-40.514535,32.699007,1.200822
25.915197,-40.381044,32.995360,1.204844
26.119637,-40.247553,33.289370,1.208883
26.321812,-40.114062,33.581100,1.212958
26.521773,-39.980571,33.870608,1.217052
26.719572,-39.847080,34.157952,1.221182
26.915254,-39.713589,34.443187,1.225332
27.108867,-39.580098,34.726366,1.229519
27.300454,-39.446607,35.007539,1.233725
27.490057,-39.313116,35.286754,1.237970
27.677718,-39.179624,35.564060,1.242234
27.863475,-39.046133,35.839501,1.246537
